,发生时间,开关机状态,加热中,保温中,实际温度,热水量,水流量,加热剩余时间,当前设置温度,事件编号
2330,2014-10-21 16:36:48,开,开,关,45°C,50%,20,6分钟,50°C,25
2331,2014-10-21 16:36:49,开,开,关,45°C,50%,18,6分钟,50°C,25
2332,2014-10-21 16:36:55,开,开,关,45°C,50%,20,6分钟,50°C,25
2333,2014-10-21 16:36:57,开,开,关,45°C,50%,18,6分钟,50°C,25
2334,2014-10-21 16:36:59,开,开,关,45°C,50%,20,6分钟,50°C,25
2335,2014-10-21 16:37:01,开,开,关,45°C,50%,18,6分钟,50°C,25
2336,2014-10-21 16:37:03,开,开,关,45°C,50%,20,6分钟,50°C,25
2337,2014-10-21 16:37:09,开,开,关,45°C,50%,18,6分钟,50°C,25
2338,2014-10-21 16:37:11,开,开,关,44°C,50%,20,8分钟,50°C,25
2339,2014-10-21 16:37:15,开,开,关,44°C,50%,18,8分钟,50°C,25
2340,2014-10-21 16:37:21,开,开,关,45°C,50%,20,7分钟,50°C,25
2341,2014-10-21 16:37:27,开,开,关,44°C,50%,20,8分钟,50°C,25
2342,2014-10-21 16:37:31,开,开,关,44°C,50%,18,8分钟,50°C,25
2343,2014-10-21 16:37:33,开,开,关,44°C,50%,20,8分钟,50°C,25
2344,2014-10-21 16:37:41,开,开,关,44°C,50%,18,8分钟,50°C,25
2345,2014-10-21 16:37:43,开,开,关,44°C,50%,20,8分钟,50°C,25
2346,2014-10-21 16:37:45,开,开,关,44°C,50%,18,8分钟,50°C,25
2347,2014-10-21 16:37:47,开,开,关,44°C,50%,20,8分钟,50°C,25
2348,2014-10-21 16:37:49,开,开,关,44°C,50%,21,8分钟,50°C,25
2349,2014-10-21 16:37:51,开,开,关,44°C,50%,20,8分钟,50°C,25
2350,2014-10-21 16:37:53,开,开,关,44°C,50%,18,8分钟,50°C,25
2351,2014-10-21 16:38:03,开,开,关,44°C,50%,20,7分钟,50°C,25
2352,2014-10-21 16:38:05,开,开,关,44°C,50%,18,7分钟,50°C,25
2353,2014-10-21 16:38:07,开,开,关,44°C,50%,21,7分钟,50°C,25
2354,2014-10-21 16:38:09,开,开,关,44°C,50%,18,7分钟,50°C,25
2355,2014-10-21 16:38:12,开,开,关,43°C,25%,18,9分钟,50°C,25
2356,2014-10-21 16:38:15,开,开,关,43°C,25%,20,9分钟,50°C,25
2357,2014-10-21 16:38:18,开,开,关,43°C,25%,18,9分钟,50°C,25
2358,2014-10-21 16:38:24,开,开,关,43°C,25%,20,9分钟,50°C,25
2359,2014-10-21 16:38:26,开,开,关,43°C,25%,18,9分钟,50°C,25
2360,2014-10-21 16:38:28,开,开,关,43°C,25%,20,9分钟,50°C,25
2361,2014-10-21 16:38:30,开,开,关,43°C,25%,18,9分钟,50°C,25
2362,2014-10-21 16:38:42,开,开,关,43°C,25%,20,9分钟,50°C,25
2363,2014-10-21 16:38:46,开,开,关,43°C,25%,18,9分钟,50°C,25
2364,2014-10-21 16:39:02,开,开,关,42°C,25%,20,11分钟,50°C,25
2365,2014-10-21 16:39:09,开,开,关,42°C,25%,20,11分钟,50°C,25
2366,2014-10-21 16:39:26,关,关,关,42°C,25%,20,0分钟,50°C,25
2367,2014-10-21 16:39:32,关,关,关,41°C,25%,20,0分钟,50°C,25
2368,2014-10-21 16:39:38,开,开,关,41°C,25%,20,12分钟,50°C,25
2369,2014-10-21 16:39:53,关,关,关,41°C,25%,20,0分钟,50°C,25
2370,2014-10-21 16:39:54,关,关,关,41°C,25%,21,0分钟,50°C,25
2371,2014-10-21 16:40:03,关,关,关,41°C,25%,20,0分钟,50°C,25
2372,2014-10-21 16:40:09,关,关,关,40°C,25%,20,0分钟,50°C,25
2373,2014-10-21 16:40:11,关,关,关,40°C,25%,18,0分钟,50°C,25
2374,2014-10-21 16:40:21,关,关,关,40°C,25%,20,0分钟,50°C,25
2375,2014-10-21 16:40:23,关,关,关,40°C,25%,18,0分钟,50°C,25
2376,2014-10-21 16:40:27,关,关,关,40°C,25%,20,0分钟,50°C,25
2377,2014-10-21 16:40:39,关,关,关,39°C,25%,20,0分钟,50°C,25
2378,2014-10-21 16:40:43,关,关,关,39°C,25%,18,0分钟,50°C,25
2379,2014-10-21 16:41:01,关,关,关,39°C,25%,20,0分钟,50°C,25
2380,2014-10-21 16:41:03,关,关,关,39°C,25%,18,0分钟,50°C,25
2381,2014-10-21 16:41:11,关,关,关,38°C,25%,20,0分钟,50°C,25
2385,2014-10-21 17:37:54,关,关,关,36°C,25%,8,0分钟,50°C,26
2451,2014-10-21 18:37:57,开,关,开,50°C,50%,8,0分钟,50°C,27
2454,2014-10-21 18:49:42,关,关,关,50°C,50%,30,0分钟,50°C,28
2455,2014-10-21 18:49:44,关,关,关,50°C,50%,62,0分钟,50°C,28
2456,2014-10-21 18:49:46,关,关,关,50°C,50%,61,0分钟,50°C,28
2457,2014-10-21 18:49:48,关,关,关,50°C,50%,62,0分钟,50°C,28
2458,2014-10-21 18:49:50,关,关,关,50°C,50%,63,0分钟,50°C,28
2459,2014-10-21 18:49:52,关,关,关,50°C,50%,62,0分钟,50°C,28
2460,2014-10-21 18:49:54,关,关,关,50°C,50%,63,0分钟,50°C,28
2461,2014-10-21 18:49:56,关,关,关,50°C,50%,52,0分钟,50°C,28
2462,2014-10-21 18:49:58,关,关,关,50°C,50%,23,0分钟,50°C,28
2463,2014-10-21 18:50:00,关,关,关,50°C,50%,46,0分钟,50°C,28
2465,2014-10-21 18:51:02,关,关,关,50°C,50%,57,0分钟,50°C,28
2466,2014-10-21 18:51:06,关,关,关,50°C,50%,56,0分钟,50°C,28
2467,2014-10-21 18:51:08,关,关,关,50°C,50%,57,0分钟,50°C,28
2468,2014-10-21 18:51:10,关,关,关,50°C,50%,56,0分钟,50°C,28
2469,2014-10-21 18:51:13,关,关,关,50°C,50%,58,0分钟,50°C,28
2470,2014-10-21 18:51:14,关,关,关,50°C,50%,66,0分钟,50°C,28
2471,2014-10-21 18:51:17,关,关,关,50°C,50%,65,0分钟,50°C,28
2472,2014-10-21 18:51:21,关,关,关,50°C,50%,63,0分钟,50°C,28
2473,2014-10-21 18:51:23,关,关,关,50°C,50%,8,0分钟,50°C,28
2475,2014-10-21 18:51:37,关,关,关,50°C,50%,32,0分钟,50°C,28
2476,2014-10-21 18:51:39,关,关,关,50°C,50%,50,0分钟,50°C,28
2477,2014-10-21 18:51:45,关,关,关,50°C,50%,51,0分钟,50°C,28
2478,2014-10-21 18:51:47,关,关,关,50°C,50%,30,0分钟,50°C,28
2479,2014-10-21 18:51:51,关,关,关,50°C,50%,20,0分钟,50°C,28
2480,2014-10-21 18:51:55,关,关,关,50°C,50%,18,0分钟,50°C,28
2481,2014-10-21 18:52:01,关,关,关,50°C,50%,20,0分钟,50°C,28
2482,2014-10-21 18:52:03,关,关,关,50°C,50%,18,0分钟,50°C,28
2483,2014-10-21 18:52:07,关,关,关,50°C,50%,20,0分钟,50°C,28
2484,2014-10-21 18:52:19,关,关,关,50°C,50%,18,0分钟,50°C,28
2485,2014-10-21 18:52:27,关,关,关,50°C,50%,20,0分钟,50°C,28
2486,2014-10-21 18:52:33,关,关,关,50°C,50%,18,0分钟,50°C,28
2487,2014-10-21 18:52:43,关,关,关,50°C,50%,20,0分钟,50°C,28
2488,2014-10-21 18:52:47,关,关,关,50°C,50%,18,0分钟,50°C,28
2489,2014-10-21 18:52:49,关,关,关,50°C,50%,20,0分钟,50°C,28
2490,2014-10-21 18:52:53,关,关,关,50°C,50%,18,0分钟,50°C,28
2491,2014-10-21 18:52:55,关,关,关,50°C,50%,20,0分钟,50°C,28
2492,2014-10-21 18:52:58,关,关,关,50°C,50%,18,0分钟,50°C,28
2493,2014-10-21 18:53:06,关,关,关,50°C,50%,18,0分钟,50°C,28
2494,2014-10-21 18:53:10,关,关,关,50°C,50%,20,0分钟,50°C,28
2495,2014-10-21 18:53:16,关,关,关,50°C,50%,18,0分钟,50°C,28
2496,2014-10-21 18:53:22,关,关,关,50°C,50%,20,0分钟,50°C,28
2497,2014-10-21 18:53:26,关,关,关,50°C,50%,18,0分钟,50°C,28
2498,2014-10-21 18:53:28,关,关,关,50°C,50%,20,0分钟,50°C,28
2499,2014-10-21 18:53:32,关,关,关,50°C,50%,13,0分钟,50°C,28
2500,2014-10-21 18:53:38,关,关,关,50°C,50%,17,0分钟,50°C,28
2501,2014-10-21 18:53:40,关,关,关,50°C,50%,16,0分钟,50°C,28
2502,2014-10-21 18:53:42,关,关,关,50°C,50%,13,0分钟,50°C,28
2503,2014-10-21 18:53:46,关,关,关,50°C,50%,18,0分钟,50°C,28
2504,2014-10-21 18:53:50,关,关,关,50°C,50%,17,0分钟,50°C,28
2505,2014-10-21 18:53:52,关,关,关,50°C,50%,18,0分钟,50°C,28
2506,2014-10-21 18:53:54,关,关,关,50°C,50%,17,0分钟,50°C,28
2507,2014-10-21 18:54:00,关,关,关,50°C,50%,20,0分钟,50°C,28
2508,2014-10-21 18:54:02,关,关,关,50°C,50%,21,0分钟,50°C,28
2509,2014-10-21 18:54:12,关,关,关,50°C,50%,20,0分钟,50°C,28
2510,2014-10-21 18:54:14,关,关,关,50°C,50%,21,0分钟,50°C,28
2511,2014-10-21 18:54:36,关,关,关,50°C,50%,20,0分钟,50°C,28
2512,2014-10-21 18:54:38,关,关,关,50°C,50%,21,0分钟,50°C,28
2513,2014-10-21 18:55:13,关,关,关,50°C,50%,20,0分钟,50°C,28
2514,2014-10-21 18:55:15,关,关,关,50°C,50%,18,0分钟,50°C,28
2515,2014-10-21 18:55:21,关,关,关,50°C,50%,20,0分钟,50°C,28
2516,2014-10-21 18:55:27,关,关,关,50°C,50%,18,0分钟,50°C,28
2517,2014-10-21 18:55:29,关,关,关,50°C,50%,20,0分钟,50°C,28
2518,2014-10-21 18:55:31,关,关,关,50°C,50%,21,0分钟,50°C,28
2519,2014-10-21 18:55:33,关,关,关,50°C,50%,20,0分钟,50°C,28
2520,2014-10-21 18:55:35,关,关,关,50°C,50%,21,0分钟,50°C,28
2521,2014-10-21 18:55:39,关,关,关,50°C,50%,20,0分钟,50°C,28
2522,2014-10-21 18:55:41,关,关,关,50°C,50%,21,0分钟,50°C,28
2523,2014-10-21 18:56:01,关,关,关,50°C,50%,20,0分钟,50°C,28
2524,2014-10-21 18:56:03,关,关,关,50°C,50%,21,0分钟,50°C,28
2525,2014-10-21 18:56:05,关,关,关,50°C,50%,18,0分钟,50°C,28
2526,2014-10-21 18:56:15,关,关,关,50°C,50%,20,0分钟,50°C,28
2527,2014-10-21 18:56:17,关,关,关,50°C,50%,21,0分钟,50°C,28
2528,2014-10-21 18:56:23,关,关,关,50°C,50%,20,0分钟,50°C,28
2533,2014-10-21 19:01:43,关,关,关,49°C,50%,8,0分钟,50°C,29
2546,2014-10-21 19:50:02,关,关,关,46°C,50%,51,0分钟,50°C,30
2547,2014-10-21 19:50:04,关,关,关,46°C,50%,40,0分钟,50°C,30
2548,2014-10-21 19:50:12,关,关,关,46°C,50%,41,0分钟,50°C,30
2549,2014-10-21 19:50:14,关,关,关,46°C,50%,42,0分钟,50°C,30
2550,2014-10-21 19:50:16,关,关,关,46°C,50%,41,0分钟,50°C,30
2551,2014-10-21 19:50:18,关,关,关,46°C,50%,42,0分钟,50°C,30
2552,2014-10-21 19:50:22,关,关,关,46°C,50%,41,0分钟,50°C,30
2553,2014-10-21 19:50:28,关,关,关,46°C,50%,42,0分钟,50°C,30
2554,2014-10-21 19:50:33,关,关,关,46°C,50%,41,0分钟,50°C,30
2555,2014-10-21 19:50:35,关,关,关,46°C,50%,42,0分钟,50°C,30
2556,2014-10-21 19:50:43,关,关,关,46°C,50%,41,0分钟,50°C,30
2557,2014-10-21 19:50:45,关,关,关,46°C,50%,42,0分钟,50°C,30
2558,2014-10-21 19:50:47,关,关,关,46°C,50%,41,0分钟,50°C,30
2559,2014-10-21 19:50:49,关,关,关,46°C,50%,42,0分钟,50°C,30
2560,2014-10-21 19:50:55,关,关,关,46°C,50%,41,0分钟,50°C,30
2561,2014-10-21 19:50:57,关,关,关,46°C,50%,42,0分钟,50°C,30
2562,2014-10-21 19:50:59,关,关,关,46°C,50%,27,0分钟,50°C,30
2563,2014-10-21 19:51:05,关,关,关,46°C,50%,26,0分钟,50°C,30
2564,2014-10-21 19:51:13,关,关,关,46°C,50%,27,0分钟,50°C,30
2565,2014-10-21 19:51:15,关,关,关,46°C,50%,26,0分钟,50°C,30
2566,2014-10-21 19:51:17,关,关,关,46°C,50%,27,0分钟,50°C,30
2567,2014-10-21 19:51:19,关,关,关,46°C,50%,26,0分钟,50°C,30
2568,2014-10-21 19:51:23,关,关,关,46°C,50%,27,0分钟,50°C,30
2569,2014-10-21 19:51:25,关,关,关,46°C,50%,26,0分钟,50°C,30
2570,2014-10-21 19:51:29,关,关,关,46°C,50%,27,0分钟,50°C,30
2571,2014-10-21 19:51:31,关,关,关,46°C,50%,26,0分钟,50°C,30
2572,2014-10-21 19:51:33,关,关,关,46°C,50%,27,0分钟,50°C,30
2573,2014-10-21 19:51:35,关,关,关,45°C,50%,26,0分钟,50°C,30
2574,2014-10-21 19:51:45,关,关,关,45°C,50%,27,0分钟,50°C,30
2575,2014-10-21 19:51:49,关,关,关,45°C,50%,26,0分钟,50°C,30
2576,2014-10-21 19:51:55,关,关,关,45°C,50%,27,0分钟,50°C,30
2577,2014-10-21 19:51:57,关,关,关,45°C,50%,26,0分钟,50°C,30
2578,2014-10-21 19:52:04,关,关,关,45°C,50%,27,0分钟,50°C,30
2579,2014-10-21 19:52:05,关,关,关,45°C,50%,26,0分钟,50°C,30
2580,2014-10-21 19:52:07,关,关,关,45°C,50%,26,0分钟,50°C,30
2581,2014-10-21 19:52:09,关,关,关,45°C,50%,27,0分钟,50°C,30
2582,2014-10-21 19:52:20,关,关,关,44°C,50%,27,0分钟,50°C,30
2583,2014-10-21 19:52:22,关,关,关,44°C,50%,26,0分钟,50°C,30
2584,2014-10-21 19:52:26,关,关,关,44°C,50%,27,0分钟,50°C,30
2585,2014-10-21 19:52:30,关,关,关,44°C,50%,26,0分钟,50°C,30
2586,2014-10-21 19:52:38,关,关,关,44°C,50%,27,0分钟,50°C,30
2587,2014-10-21 19:52:40,关,关,关,44°C,25%,27,0分钟,50°C,30
2588,2014-10-21 19:52:42,关,关,关,44°C,25%,26,0分钟,50°C,30
2589,2014-10-21 19:52:44,关,关,关,44°C,25%,27,0分钟,50°C,30
2590,2014-10-21 19:52:46,关,关,关,44°C,25%,26,0分钟,50°C,30
2591,2014-10-21 19:52:52,关,关,关,44°C,25%,27,0分钟,50°C,30
2592,2014-10-21 19:52:54,关,关,关,44°C,25%,26,0分钟,50°C,30
2593,2014-10-21 19:52:56,关,关,关,44°C,25%,27,0分钟,50°C,30
2594,2014-10-21 19:52:58,关,关,关,44°C,25%,28,0分钟,50°C,30
2595,2014-10-21 19:53:00,关,关,关,43°C,25%,26,0分钟,50°C,30
2596,2014-10-21 19:53:18,关,关,关,43°C,25%,27,0分钟,50°C,30
2597,2014-10-21 19:53:22,关,关,关,43°C,25%,26,0分钟,50°C,30
2598,2014-10-21 19:53:28,关,关,关,43°C,25%,27,0分钟,50°C,30
2599,2014-10-21 19:53:30,关,关,关,42°C,25%,26,0分钟,50°C,30
2600,2014-10-21 19:53:48,关,关,关,42°C,25%,27,0分钟,50°C,30
2601,2014-10-21 19:53:50,关,关,关,42°C,25%,26,0分钟,50°C,30
2602,2014-10-21 19:54:04,关,关,关,42°C,25%,27,0分钟,50°C,30
2603,2014-10-21 19:54:07,关,关,关,42°C,25%,26,0分钟,50°C,30
2604,2014-10-21 19:54:09,关,关,关,42°C,25%,27,0分钟,50°C,30
2605,2014-10-21 19:54:11,关,关,关,42°C,25%,26,0分钟,50°C,30
2606,2014-10-21 19:54:31,关,关,关,41°C,25%,27,0分钟,50°C,30
2607,2014-10-21 19:54:33,关,关,关,41°C,25%,26,0分钟,50°C,30
2608,2014-10-21 19:54:43,关,关,关,41°C,25%,27,0分钟,50°C,30
2609,2014-10-21 19:54:45,关,关,关,41°C,25%,28,0分钟,50°C,30
2610,2014-10-21 19:54:51,关,关,关,41°C,25%,27,0分钟,50°C,30
2611,2014-10-21 19:54:53,关,关,关,41°C,25%,25,0分钟,50°C,30
2612,2014-10-21 19:54:55,关,关,关,40°C,25%,35,0分钟,50°C,30
2613,2014-10-21 19:54:57,关,关,关,40°C,25%,31,0分钟,50°C,30
2614,2014-10-21 19:55:09,关,关,关,40°C,25%,27,0分钟,50°C,30
2615,2014-10-21 19:55:11,关,关,关,40°C,25%,21,0分钟,50°C,30
2718,2014-10-21 21:36:22,开,开,关,39°C,25%,46,14分钟,50°C,31
2719,2014-10-21 21:36:28,开,开,关,39°C,25%,47,14分钟,50°C,31
2720,2014-10-21 21:36:30,开,开,关,39°C,25%,48,14分钟,50°C,31
2721,2014-10-21 21:36:32,开,开,关,39°C,25%,47,14分钟,50°C,31
2722,2014-10-21 21:36:35,开,开,关,39°C,25%,48,14分钟,50°C,31
2723,2014-10-21 21:36:36,开,开,关,39°C,25%,50,14分钟,50°C,31
2724,2014-10-21 21:36:39,开,开,关,39°C,25%,47,14分钟,50°C,31
2725,2014-10-21 21:36:53,开,开,关,39°C,25%,48,14分钟,50°C,31
2726,2014-10-21 21:36:59,开,开,关,40°C,25%,48,14分钟,50°C,31
2727,2014-10-21 21:37:01,开,开,关,40°C,25%,50,14分钟,50°C,31
2728,2014-10-21 21:37:07,开,开,关,40°C,25%,48,13分钟,50°C,31
2729,2014-10-21 21:37:09,开,开,关,40°C,25%,42,13分钟,50°C,31
2730,2014-10-21 21:37:15,开,开,关,40°C,25%,43,13分钟,50°C,31
2731,2014-10-21 21:37:27,开,开,关,40°C,25%,45,13分钟,50°C,31
2732,2014-10-21 21:37:29,开,开,关,40°C,25%,46,13分钟,50°C,31
2733,2014-10-21 21:37:31,开,开,关,40°C,25%,45,13分钟,50°C,31
2734,2014-10-21 21:37:33,开,开,关,40°C,25%,52,13分钟,50°C,31
2735,2014-10-21 21:37:37,开,开,关,40°C,25%,51,13分钟,50°C,31
2736,2014-10-21 21:37:41,开,开,关,40°C,25%,52,13分钟,50°C,31
2737,2014-10-21 21:37:47,开,开,关,40°C,25%,25,13分钟,50°C,31
2738,2014-10-21 21:37:48,开,开,关,40°C,25%,23,13分钟,50°C,31
2739,2014-10-21 21:37:49,开,开,关,40°C,25%,22,13分钟,50°C,31
2740,2014-10-21 21:37:53,开,开,关,40°C,25%,23,13分钟,50°C,31
2741,2014-10-21 21:37:55,开,开,关,40°C,25%,22,13分钟,50°C,31
2742,2014-10-21 21:37:57,开,开,关,40°C,25%,23,13分钟,50°C,31
2743,2014-10-21 21:37:59,开,开,关,40°C,25%,22,13分钟,50°C,31
2744,2014-10-21 21:38:01,开,开,关,40°C,25%,27,13分钟,50°C,31
2745,2014-10-21 21:38:09,开,开,关,40°C,25%,26,12分钟,50°C,31
2746,2014-10-21 21:38:11,开,开,关,40°C,25%,27,12分钟,50°C,31
2747,2014-10-21 21:38:13,开,开,关,40°C,25%,26,12分钟,50°C,31
2748,2014-10-21 21:38:15,开,开,关,40°C,25%,27,12分钟,50°C,31
2749,2014-10-21 21:38:24,开,开,关,40°C,25%,26,12分钟,50°C,31
2750,2014-10-21 21:38:28,开,开,关,40°C,25%,27,12分钟,50°C,31
2751,2014-10-21 21:38:38,开,开,关,40°C,25%,26,12分钟,50°C,31
2752,2014-10-21 21:38:40,开,开,关,40°C,25%,27,12分钟,50°C,31
2753,2014-10-21 21:38:42,开,开,关,40°C,25%,26,12分钟,50°C,31
2754,2014-10-21 21:38:44,开,开,关,40°C,25%,27,12分钟,50°C,31
2755,2014-10-21 21:38:46,开,开,关,40°C,25%,26,12分钟,50°C,31
2756,2014-10-21 21:38:48,开,开,关,40°C,25%,27,12分钟,50°C,31
2757,2014-10-21 21:38:54,开,开,关,40°C,25%,26,12分钟,50°C,31
2758,2014-10-21 21:38:56,开,开,关,40°C,25%,27,12分钟,50°C,31
2759,2014-10-21 21:39:02,开,开,关,40°C,25%,26,12分钟,50°C,31
2760,2014-10-21 21:39:04,开,开,关,40°C,25%,26,11分钟,50°C,31
2761,2014-10-21 21:39:10,开,开,关,40°C,25%,27,11分钟,50°C,31
2762,2014-10-21 21:39:12,开,开,关,40°C,25%,26,11分钟,50°C,31
2763,2014-10-21 21:39:16,开,开,关,40°C,25%,27,11分钟,50°C,31
2764,2014-10-21 21:39:18,开,开,关,40°C,25%,26,11分钟,50°C,31
2765,2014-10-21 21:39:28,开,开,关,40°C,25%,27,11分钟,50°C,31
2766,2014-10-21 21:39:30,开,开,关,40°C,25%,26,11分钟,50°C,31
2767,2014-10-21 21:39:36,开,开,关,40°C,25%,27,11分钟,50°C,31
2768,2014-10-21 21:39:38,开,开,关,40°C,25%,26,11分钟,50°C,31
2769,2014-10-21 21:39:40,开,开,关,40°C,25%,27,11分钟,50°C,31
2770,2014-10-21 21:39:44,开,开,关,40°C,25%,26,11分钟,50°C,31
2771,2014-10-21 21:39:46,开,开,关,40°C,25%,27,11分钟,50°C,31
2772,2014-10-21 21:39:54,开,开,关,40°C,25%,26,11分钟,50°C,31
2781,2014-10-21 21:41:43,开,开,关,39°C,25%,22,15分钟,50°C,31
2782,2014-10-21 21:41:45,开,开,关,39°C,25%,12,15分钟,50°C,31
2783,2014-10-21 21:41:47,开,开,关,39°C,25%,13,15分钟,50°C,31
2784,2014-10-21 21:41:49,开,开,关,39°C,25%,18,15分钟,50°C,31
2785,2014-10-21 21:41:52,开,开,关,39°C,25%,25,15分钟,50°C,31
2786,2014-10-21 21:41:58,开,开,关,39°C,25%,28,15分钟,50°C,31
2787,2014-10-21 21:42:10,开,开,关,39°C,25%,30,15分钟,50°C,31
2788,2014-10-21 21:42:14,开,开,关,39°C,25%,30,14分钟,50°C,31
2789,2014-10-21 21:42:16,开,开,关,39°C,25%,28,14分钟,50°C,31
2790,2014-10-21 21:42:29,开,开,关,39°C,25%,28,14分钟,50°C,31
2791,2014-10-21 21:42:32,开,开,关,39°C,25%,27,14分钟,50°C,31
2792,2014-10-21 21:42:34,开,开,关,39°C,25%,28,14分钟,50°C,31
2793,2014-10-21 21:42:36,开,开,关,39°C,25%,27,14分钟,50°C,31
2794,2014-10-21 21:42:42,开,开,关,39°C,25%,28,14分钟,50°C,31
2795,2014-10-21 21:42:44,开,开,关,39°C,25%,27,14分钟,50°C,31
2796,2014-10-21 21:42:46,开,开,关,39°C,25%,28,14分钟,50°C,31
2797,2014-10-21 21:42:58,开,开,关,39°C,25%,27,14分钟,50°C,31
2798,2014-10-21 21:43:00,开,开,关,39°C,25%,28,14分钟,50°C,31
2799,2014-10-21 21:43:08,开,开,关,39°C,25%,27,14分钟,50°C,31
2800,2014-10-21 21:43:10,开,开,关,39°C,25%,28,14分钟,50°C,31
2801,2014-10-21 21:43:12,开,开,关,39°C,25%,27,13分钟,50°C,31
2802,2014-10-21 21:43:14,开,开,关,39°C,25%,28,13分钟,50°C,31
2803,2014-10-21 21:43:18,开,开,关,39°C,25%,27,13分钟,50°C,31
2804,2014-10-21 21:43:20,开,开,关,39°C,25%,28,13分钟,50°C,31
2805,2014-10-21 21:43:26,开,开,关,39°C,25%,27,13分钟,50°C,31
2806,2014-10-21 21:43:36,开,开,关,39°C,25%,28,13分钟,50°C,31
2807,2014-10-21 21:43:39,开,开,关,39°C,25%,27,13分钟,50°C,31
2808,2014-10-21 21:43:41,开,开,关,39°C,25%,25,13分钟,50°C,31
2809,2014-10-21 21:43:43,开,开,关,39°C,25%,26,13分钟,50°C,31
2810,2014-10-21 21:43:47,开,开,关,39°C,25%,25,13分钟,50°C,31
2811,2014-10-21 21:43:49,开,开,关,39°C,25%,26,13分钟,50°C,31
2812,2014-10-21 21:43:57,开,开,关,39°C,25%,25,13分钟,50°C,31
2813,2014-10-21 21:44:03,开,开,关,39°C,25%,28,13分钟,50°C,31
2814,2014-10-21 21:44:05,开,开,关,39°C,25%,27,13分钟,50°C,31
2815,2014-10-21 21:44:11,开,开,关,39°C,25%,28,13分钟,50°C,31
2816,2014-10-21 21:44:13,开,开,关,39°C,25%,28,12分钟,50°C,31
2817,2014-10-21 21:44:15,开,开,关,39°C,25%,30,12分钟,50°C,31
2818,2014-10-21 21:44:17,开,开,关,39°C,25%,28,12分钟,50°C,31
2819,2014-10-21 21:44:19,开,开,关,39°C,25%,30,12分钟,50°C,31
2820,2014-10-21 21:44:25,开,开,关,39°C,25%,28,12分钟,50°C,31
2821,2014-10-21 21:44:27,开,开,关,39°C,25%,27,12分钟,50°C,31
2822,2014-10-21 21:44:41,开,开,关,39°C,25%,28,12分钟,50°C,31
2823,2014-10-21 21:44:43,开,开,关,39°C,25%,27,12分钟,50°C,31
2824,2014-10-21 21:44:51,开,开,关,39°C,25%,28,12分钟,50°C,31
2825,2014-10-21 21:44:55,开,开,关,39°C,25%,30,12分钟,50°C,31
2826,2014-10-21 21:45:11,开,开,关,39°C,25%,28,12分钟,50°C,31
2827,2014-10-21 21:45:20,开,开,关,39°C,25%,28,11分钟,50°C,31
2828,2014-10-21 21:45:22,开,开,关,39°C,25%,27,11分钟,50°C,31
2829,2014-10-21 21:45:38,开,开,关,39°C,25%,28,11分钟,50°C,31
2830,2014-10-21 21:45:40,开,开,关,39°C,25%,27,11分钟,50°C,31
2831,2014-10-21 21:45:42,开,开,关,39°C,25%,30,11分钟,50°C,31
2832,2014-10-21 21:46:02,开,开,关,39°C,25%,28,11分钟,50°C,31
2833,2014-10-21 21:46:04,开,开,关,39°C,25%,30,11分钟,50°C,31
2834,2014-10-21 21:46:06,开,开,关,39°C,25%,28,11分钟,50°C,31
2835,2014-10-21 21:46:10,开,开,关,39°C,25%,30,11分钟,50°C,31
2836,2014-10-21 21:46:14,开,开,关,39°C,25%,28,11分钟,50°C,31
2837,2014-10-21 21:46:16,开,开,关,39°C,25%,25,11分钟,50°C,31
2838,2014-10-21 21:46:22,开,开,关,39°C,25%,26,11分钟,50°C,31
2839,2014-10-21 21:46:24,开,开,关,39°C,25%,25,11分钟,50°C,31
2840,2014-10-21 21:46:28,开,开,关,39°C,25%,26,11分钟,50°C,31
2841,2014-10-21 21:46:30,开,开,关,39°C,25%,25,11分钟,50°C,31
2842,2014-10-21 21:46:42,开,开,关,39°C,25%,26,11分钟,50°C,31
2843,2014-10-21 21:46:44,开,开,关,39°C,25%,27,11分钟,50°C,31
2844,2014-10-21 21:46:54,开,开,关,39°C,25%,26,11分钟,50°C,31
2845,2014-10-21 21:46:56,开,开,关,39°C,25%,26,17分钟,50°C,31
2846,2014-10-21 21:46:58,开,开,关,39°C,25%,26,16分钟,50°C,31
2847,2014-10-21 21:47:00,开,开,关,38°C,25%,25,16分钟,50°C,31
2848,2014-10-21 21:47:02,开,开,关,38°C,25%,26,16分钟,50°C,31
2849,2014-10-21 21:47:04,开,开,关,38°C,25%,25,16分钟,50°C,31
2850,2014-10-21 21:47:07,开,开,关,38°C,25%,26,16分钟,50°C,31
2851,2014-10-21 21:47:11,开,开,关,38°C,25%,25,16分钟,50°C,31
2852,2014-10-21 21:47:12,开,开,关,38°C,25%,26,16分钟,50°C,31
2853,2014-10-21 21:47:13,开,开,关,38°C,25%,10,16分钟,50°C,31
2903,2014-10-21 22:14:53,开,关,开,50°C,50%,8,0分钟,50°C,32
2905,2014-10-21 22:24:47,开,关,开,50°C,50%,10,0分钟,50°C,33
2907,2014-10-21 22:45:41,开,关,开,50°C,50%,8,0分钟,50°C,34
3058,2014-10-22 01:45:15,开,关,开,48°C,50%,8,0分钟,50°C,35
3190,2014-10-22 06:52:38,关,关,关,47°C,50%,8,0分钟,50°C,36
3207,2014-10-22 07:20:22,关,关,关,46°C,25%,8,0分钟,50°C,37
